omitted_panel,omitted_trace,omitted_condition,omitted_R_I_G,omitted_R_P,n,pearson_r,pearson_p,spearman_rho,spearman_p,slope,intercept,R2,rmse
M5_30112,PanelA_Clean,Clean,1.0108236153301087,1.0694361011106968,16,0.9826798160869556,1.1978163682819774e-11,0.753495421062733,0.0007504187363380488,0.9595424980847881,0.038815467990386154,0.9656596209446928,0.07086593476760757
M5_30112,PanelB_Clean,Clean,1.0,0.9933571542442788,16,0.9823695094751904,1.3552432610061351e-11,0.7676470588235293,0.0005168835242959224,0.9682305349343482,0.03697410497789022,0.9650498531465261,0.07226460287147128
M5_30112,PanelC_Clean,Clean,0.9899938159123732,0.996104888850104,16,0.9823309846421018,1.3759691320540448e-11,0.7667404577611014,0.0005297764091723554,0.9666459301485286,0.037282547903396135,0.9649741633879211,0.07231827255851324
M5_30112,PanelA_Shadow,Shaded,0.24306235796091347,0.30165294448245883,16,0.9817707309173639,1.709478701175832e-11,0.7005152742692597,0.0025086174095678357,0.9730217420049566,0.030893611875893567,0.9638737680860148,0.07188310101886104
M5_30112,PanelB_Shadow,Shaded,0.23673161897764428,0.2675705190740472,16,0.9812886470858656,2.0495642328134822e-11,0.7005152742692597,0.0025086174095678357,0.9671607267568578,0.03693038138339111,0.9629274088996088,0.07231856786693575
M5_30112,PanelC_Shadow,Shaded,0.19889640643952533,0.2583324700484736,16,0.9814362774535157,1.9397700904015777e-11,0.7005152742692597,0.0025086174095678357,0.9736028092426932,0.030488390335228877,0.9632171667018141,0.07189301591236615
M5_30112,PanelA_Dirt,Soiled,1.0100690158859487,1.0458877085990286,16,0.9823324430142815,1.3751796390729993e-11,0.753495421062733,0.0007504187363380488,0.9625941524226806,0.03815497091233766,0.9649770285984065,0.07182698421400187
M5_30112,PanelB_Dirt,Soiled,0.9768215450792753,0.9785192080947939,16,0.9824077157966408,1.3349530163027602e-11,0.753495421062733,0.0007504187363380488,0.9672260196664988,0.03718791844324598,0.9651249200567732,0.07231485445269671
M5_30112,PanelC_Dirt,Soiled,0.8961672169286855,0.8990263517311937,16,0.9826831848331012,1.1961971590097114e-11,0.7299486891545226,0.0013266261878299216,0.9672354283985389,0.03727403508384408,0.9656662417537268,0.07230939402485373
SP090P,Panel1_Clean,Clean,1.0185454324498127,0.7719628384490143,16,0.9970848791064715,4.7600119554004954e-17,0.8623990561382061,1.7271463042293965e-05,1.0010792407066156,0.029485786998954988,0.9941782561427669,0.029970416277015396
SP090P,Panel2_Clean,Clean,0.9860727785611169,1.0316425203090949,16,0.9825589616804616,1.2571594248278061e-11,0.7711554699938907,0.00046939880520652574,0.9618606545272838,0.038104367400559114,0.9654221131785868,0.07151643032530551
SP090P,Panel3_Clean,Clean,1.0,1.0142857142857145,16,0.9822713475816464,1.4085875861374539e-11,0.7647058823529411,0.0005596762943567445,0.9655477362588828,0.03750251623922929,0.9648570002798633,0.07227014166880663
SP090P,Panel2_Shadow,Shaded,0.1379329355494747,0.16996192450583963,16,0.9803813847904679,2.8481398483081963e-11,0.7064019572463123,0.0022216989954449594,0.9666789182618222,0.03741455068064403,0.9611476596436754,0.07231939533084165
SP090P,Panel3_Shadow,Shaded,0.11779304996307449,0.14451468497514924,16,0.980111809148795,3.131410715036874e-11,0.7064019572463123,0.0022216989954449594,0.9649745767850693,0.039048843417283874,0.9606191584329242,0.07229615315091327
SP090P,Panel1_Dirt,Soiled,0.1503916641532459,0.1284655575172992,16,0.9807759455817799,2.4731538096005937e-11,0.7093452987348385,0.002088564955389186,0.9525852202436204,0.05115668774381599,0.9619214554318345,0.0707585334749971
SP090P,Panel2_Dirt,Soiled,0.975102062615706,1.0766742129140718,16,0.9841437450157621,6.480480745731139e-12,0.8359089827414695,5.5009568570899714e-05,0.9555723031738668,0.03894469521309518,0.9685389108536495,0.06775058613784332
SP090P,Panel3_Dirt,Soiled,1.0040173615295345,1.042016359588849,16,0.9823835306556763,1.3477666089060184e-11,0.753495421062733,0.0007504187363380488,0.9624272806926649,0.03814703597170033,0.9650774013035122,0.07176489663877263
