term,estimate,std_error,t_value,p_value
Intercept,0.05789798866635807,0.05928995913201525,0.9765226610705228,0.3466281791298874
R_I_G,0.958284585438828,0.07301736014633757,13.124065065051438,7.089281290935741e-09
SP090P indicator,-0.03814268536578047,0.07922736404970776,-0.48143322478644507,0.6382113592618059
R_I_G x SP090P,0.010476375703170504,0.09863549766225248,0.10621303639632552,0.9170348285840787
