panel,condition,n,R_P_mean,R_P_median,R_I_G_mean,R_I_G_median,R_V_mean,R_V_median,R_FF_mean,R_FF_median,current_log_share_mean,current_log_share_median,voltage_log_share_mean,voltage_log_share_median,ff_log_share_mean,ff_log_share_median,maximum_absolute_log_residual
M5_30112,Clean,3,1.0196327147350266,0.996104888850104,1.0002724770808273,1.0,0.9871794871794872,1.0,1.0335902503457886,1.0,0.2294390867230419,0.0679406718213083,0.22259680034344723,0.28816698937815904,0.5479641129335109,0.6438923388005326,4.336808689942018e-18
M5_30112,Shaded,3,0.27585197786832655,0.2675705190740472,0.22623012779269436,0.23673161897764428,0.9670781893004117,0.9734093067426401,1.2657275514427484,1.302540188923983,0.8487579381372777,0.858050232072487,0.019559463427119273,0.01666513869804751,0.13168259843560287,0.14043390401463707,2.220446049250313e-16
M5_30112,Soiled,3,0.9744777561416721,0.9785192080947939,0.9610192592979697,0.9768215450792753,0.9854384298828743,1.0075973409306742,1.030257952942488,0.9941847851556843,0.5143225029295276,0.636362377919528,0.22148710678503103,0.2053783466160516,0.2641903902854414,0.15825927546442045,4.163336342344337e-17
SP090P,Clean,3,0.9392970243479413,1.0142857142857145,1.0015394036703098,1.0,0.9841269841269842,1.0,0.9513782214177203,1.0,0.09969029203573519,0.06216992036730278,0.4054017701030516,0.2162053103091549,0.4949079378612132,0.7216247693235424,3.3306690738754696e-16
SP090P,Shaded,2,0.15723830474049444,0.15723830474049444,0.1278629927562746,0.1278629927562746,0.9738095238095239,0.9738095238095239,1.262685816189413,1.262685816189413,0.8877428072263507,0.8877428072263507,0.011545574072231234,0.011545574072231234,0.10071161870141798,0.10071161870141798,2.220446049250313e-16
SP090P,Soiled,3,0.7490520433400732,1.042016359588849,0.7098370294328288,0.975102062615706,0.966984126984127,1.0285714285714287,1.0317936971418937,1.0163365074103339,0.4030349665232587,0.20283588063983993,0.34016439847335883,0.25265959955430456,0.2568006350033825,0.21812359025181957,3.608224830031759e-16
