panel,condition,n,R_P_mean,R_P_median,R_I_G_mean,R_I_G_median,R_V_mean,R_V_median,R_FF_mean,R_FF_median,FF_absolute_mean,FF_absolute_median
M5_30112,Clean,3,1.0196327147350266,0.996104888850104,1.0002724770808273,1.0,0.9871794871794872,1.0,1.0335902503457886,1.0,0.6345507192145691,0.6139287004712745
M5_30112,Shaded,3,0.27585197786832655,0.2675705190740472,0.22623012779269436,0.23673161897764428,0.9670781893004117,0.9734093067426401,1.2657275514427484,1.302540188923983,0.7770664708079348,0.7996668054977092
M5_30112,Soiled,3,0.9744777561416721,0.9785192080947939,0.9610192592979697,0.9768215450792753,0.9854384298828743,1.0075973409306742,1.030257952942488,0.9941847851556843,0.6325049262001771,0.6103585731789425
SP090P,Clean,3,0.9392970243479413,1.0142857142857145,1.0015394036703098,1.0,0.9841269841269842,1.0,0.9513782214177203,1.0,0.6434107289986762,0.6762933127057307
SP090P,Shaded,2,0.15723830474049444,0.15723830474049444,0.1278629927562746,0.1278629927562746,0.9738095238095239,0.9738095238095239,1.262685816189413,1.262685816189413,0.8539459735372774,0.8539459735372774
SP090P,Soiled,3,0.7490520433400732,1.042016359588849,0.7098370294328288,0.975102062615706,0.966984126984127,1.0285714285714287,1.0317936971418937,1.0163365074103339,0.6977951774689847,0.6873415834203072
