Module,Pearson r,p-value,R2,Fit slope,Spearman rho,Intercept,n
M5_30112,0.9922061842601977,1.3657371421222896e-07,0.9844731120841813,0.8888100927614218,0.7333333333333334,0.0554915414766004,9
SP090P,0.9783312378110998,2.5024042085313627e-05,0.9571320108769986,0.9482095325124612,0.8571428571428572,0.008963454440304663,8
ALL_PANELS,0.9837140590572189,1.3571656052884093e-12,0.9676933499868295,0.921656672888396,0.7786635430456308,0.029204205091445168,17
