panel,condition,n,eta_mean,eta_min,eta_max,R_I_mean,R_I_min,R_I_max,FF_mean,Pmpp_mean_W,G_range,T_range_C
M5_30112,Clean,3,0.9577115969522002,0.9352738604990773,1.0,0.9997446880939548,0.9686306771439108,1.0306033871379534,0.6345507192145691,23.21666666666667,900–948,34–43
M5_30112,Soiled,3,0.917498373130934,0.8464587415326179,0.9847328633920505,0.9872079279074826,0.9645116450597145,1.0088394655470767,0.6325049262001771,22.8,900–990,37–40
M5_30112,Shaded,3,0.25972244037794595,0.24322732817916853,0.28401478029486693,0.23034807523190828,0.19460440838557772,0.2496383081331026,0.7770664708079348,6.390000000000001,900–970,38–43
SP090P,Clean,3,0.9114595883395058,0.7495462780583277,1.0,0.998762953337804,0.995976447692825,1.0003124123205869,0.6434107289986762,66.96,920–950,39–40
SP090P,Soiled,3,0.70824504138448,0.12473512415343989,1.0,0.7210151344202099,0.1512314418127078,1.0096927414877592,0.6977951774689847,54.339999999999996,935–970,39–43
SP090P,Shaded,2,0.14501351067909618,0.12500051803461742,0.16502650332357494,0.1287457142800289,0.11819931110098479,0.139292117459073,0.8077792769791432,10.735,940–946,41–42
